AVIBASEID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
115F04DD,2.0,5.0,0.0,0.0,3.0,9.0,0.0,5.0,2.0,2.0,3.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0
15369E8E,42979.0,69907.0,15814.0,41167.0,14135.0,22995.0,18580.0,15396.0,11800.0,7557.0,14653.0,6958.0,6922.0,21079.0,6487.0,33356.0,9166.0,4500.0,720.0,50.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,14.0,22.0,6.0,7.0,10.0,6.0,4.0,2.0,51.0,26.0,53.0,571.0,372.0,7300.0,24593.0,6224.0,34647.0,39849.0,50961.0,30362.0,37533.0,27190.0,40031.0,14687.0,21093.0
1929E1E1,46197.0,20352.0,9456.0,18358.0,5417.0,7410.0,6325.0,6337.0,3772.0,5506.0,4431.0,2225.0,5636.0,675.0,1069.0,74.0,95.0,59.0,54.0,23.0,14.0,66.0,51.0,68.0,26.0,8.0,37.0,42.0,54.0,45.0,26.0,110.0,39.0,183.0,51.0,54.0,50.0,61.0,29.0,28.0,187.0,546.0,477.0,1177.0,4075.0,4301.0,4951.0,8756.0,14243.0,15708.0,36039.0,20908.0
19CCBBD2,1516.0,1219.0,810.0,1600.0,827.0,1038.0,862.0,1436.0,755.0,913.0,1602.0,1188.0,1485.0,1598.0,1395.0,1343.0,1424.0,1250.0,1230.0,737.0,1031.0,1308.0,1078.0,1154.0,828.0,867.0,995.0,958.0,1073.0,804.0,927.0,1064.0,1222.0,1024.0,1405.0,1456.0,1382.0,1609.0,1092.0,1286.0,1130.0,1248.0,784.0,1084.0,866.0,1123.0,1203.0,577.0,662.0,1722.0,1537.0,1521.0
1E1AB415,18389.0,788.0,487.0,7475.0,386.0,708.0,1078.0,4969.0,236.0,2288.0,1268.0,794.0,2053.0,1918.0,1786.0,3788.0,4258.0,3774.0,3529.0,2516.0,2934.0,3697.0,2899.0,2734.0,2196.0,2047.0,2277.0,2122.0,1911.0,1448.0,754.0,1152.0,864.0,1182.0,1881.0,4548.0,4087.0,2605.0,2828.0,1600.0,3077.0,2457.0,1793.0,3159.0,1556.0,2743.0,1321.0,571.0,640.0,1236.0,1608.0,2925.0
1F09CCCC,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,76.0,409.0,1194.0,1847.0,2154.0,3525.0,4239.0,4272.0,3467.0,2177.0,3083.0,2644.0,2539.0,2379.0,1694.0,1406.0,1452.0,790.0,713.0,640.0,779.0,1006.0,1324.0,1482.0,1726.0,2062.0,1386.0,984.0,340.0,186.0,45.0,16.0,16.0,25.0,15.0,7.0,1.0,7.0,6.0,2.0,1.0,4.0
20748450,177.0,200.0,278.0,372.0,184.0,191.0,133.0,296.0,255.0,174.0,326.0,356.0,366.0,420.0,380.0,387.0,412.0,441.0,400.0,246.0,264.0,364.0,210.0,186.0,186.0,167.0,182.0,128.0,108.0,100.0,81.0,83.0,121.0,93.0,98.0,177.0,130.0,295.0,221.0,232.0,177.0,117.0,96.0,139.0,143.0,153.0,117.0,53.0,126.0,337.0,154.0,187.0
20C2214E,3343.0,2206.0,1553.0,2306.0,1215.0,1608.0,1167.0,1614.0,901.0,1055.0,920.0,652.0,689.0,690.0,577.0,519.0,480.0,395.0,366.0,293.0,467.0,468.0,380.0,420.0,405.0,333.0,368.0,253.0,361.0,272.0,286.0,300.0,275.0,367.0,413.0,589.0,548.0,660.0,732.0,964.0,799.0,933.0,728.0,871.0,1043.0,1159.0,2181.0,918.0,769.0,1711.0,1502.0,1581.0
2225D685,1772.0,1556.0,1110.0,1612.0,1118.0,1375.0,1282.0,2398.0,1385.0,1335.0,2115.0,2493.0,2284.0,2327.0,2947.0,3581.0,3091.0,3186.0,2682.0,1713.0,2501.0,2952.0,2667.0,3435.0,2741.0,2617.0,2763.0,2591.0,2277.0,2241.0,2268.0,2339.0,2107.0,2063.0,2033.0,2646.0,2447.0,2795.0,2922.0,2722.0,2477.0,2110.0,2297.0,2172.0,2297.0,2204.0,1436.0,1263.0,937.0,2490.0,1508.0,1647.0
2281F1C7,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,28.0,340.0,1310.0,2140.0,3218.0,2934.0,3927.0,3294.0,3178.0,1940.0,2666.0,2540.0,1524.0,1342.0,1290.0,1172.0,1344.0,1384.0,1761.0,1087.0,982.0,739.0,773.0,473.0,276.0,137.0,45.0,21.0,12.0,3.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23863F65,16334.0,13203.0,8480.0,11774.0,6642.0,11293.0,9533.0,10182.0,5486.0,9609.0,5829.0,3861.0,4904.0,4739.0,2130.0,2270.0,1923.0,3168.0,1373.0,897.0,1889.0,3364.0,642.0,1124.0,1235.0,5006.0,2504.0,3907.0,3347.0,2735.0,3551.0,2910.0,3159.0,2489.0,2831.0,3422.0,4305.0,4898.0,3604.0,5181.0,3688.0,4428.0,3252.0,3398.0,4490.0,6977.0,6385.0,5748.0,7643.0,11742.0,9629.0,10695.0
240E3390,7110.0,3327.0,3029.0,3795.0,2555.0,2733.0,3050.0,3037.0,1898.0,2353.0,2758.0,2923.0,2665.0,3060.0,2859.0,4068.0,3896.0,3559.0,3007.0,3040.0,4078.0,3651.0,2999.0,2884.0,2357.0,2610.0,2909.0,3160.0,3771.0,1970.0,2506.0,3442.0,2266.0,2867.0,3263.0,3384.0,2907.0,3683.0,2337.0,3045.0,2879.0,2436.0,2234.0,2832.0,3479.0,2536.0,2604.0,3195.0,2146.0,5328.0,3722.0,4522.0
249AE8DF,27614.0,30955.0,13426.0,31075.0,27546.0,23658.0,14218.0,17922.0,19412.0,13595.0,15111.0,17521.0,12516.0,33607.0,15207.0,54434.0,43404.0,5399.0,2801.0,4341.0,2373.0,1767.0,2469.0,2465.0,927.0,1482.0,3475.0,8922.0,14428.0,33388.0,30315.0,44204.0,32263.0,47335.0,34322.0,42857.0,30361.0,43731.0,23352.0,20205.0,17969.0,27582.0,23275.0,24044.0,27456.0,31583.0,26431.0,19195.0,18142.0,35901.0,20815.0,28915.0
